mese,origine,tonnellate,intra_ue
2019-01,AT,0.2,si
2019-01,BE,97.4,si
2019-01,BG,0.0,si
2019-01,CH,11.4,no
2019-01,CN,18.7,no
2019-01,CZ,0.5,si
2019-01,DE,16.0,si
2019-01,DK,0.1,si
2019-01,DZ,122.4,no
2019-01,ES,0.8,si
2019-01,FI,3.9,si
2019-01,FR,76.2,si
2019-01,GB,2.1,no
2019-01,IT,1.1,si
2019-01,LU,0.1,si
2019-01,MU,0.0,no
2019-01,NL,14.4,si
2019-01,PL,26.3,si
2019-01,PT,30.0,si
2019-01,QA,110.1,no
2019-01,SE,0.0,si
2019-01,SI,0.0,si
2019-01,US,34.3,no
2019-02,AE,0.8,no
2019-02,AT,1.0,si
2019-02,BE,90.4,si
2019-02,BG,0.0,si
2019-02,CH,23.4,no
2019-02,CN,6.5,no
2019-02,CZ,0.5,si
2019-02,DE,56.3,si
2019-02,DK,0.0,si
2019-02,DZ,159.4,no
2019-02,EE,0.0,si
2019-02,ES,0.2,si
2019-02,FR,59.2,si
2019-02,GB,1.7,no
2019-02,IT,2.0,si
2019-02,JP,0.1,no
2019-02,LU,0.1,si
2019-02,MU,0.0,no
2019-02,NL,28.2,si
2019-02,PF,0.0,no
2019-02,PL,22.3,si
2019-02,PT,20.8,si
2019-02,QA,114.2,no
2019-02,RU,0.3,no
2019-02,SI,0.0,si
2019-02,US,43.1,no
2019-03,AT,1.0,si
2019-03,BE,68.1,si
2019-03,BG,0.0,si
2019-03,CH,40.9,no
2019-03,CZ,0.5,si
2019-03,DE,95.7,si
2019-03,DK,0.2,si
2019-03,DZ,216.1,no
2019-03,ES,10.6,si
2019-03,FI,0.1,si
2019-03,FR,43.7,si
2019-03,GB,3.8,no
2019-03,GR,0.0,si
2019-03,HU,0.0,si
2019-03,IT,17.9,si
2019-03,LT,0.0,si
2019-03,LU,0.1,si
2019-03,LV,0.0,si
2019-03,MU,0.0,no
2019-03,NL,13.7,si
2019-03,NO,0.0,no
2019-03,PL,19.7,si
2019-03,PT,20.9,si
2019-03,QA,91.6,no
2019-03,RO,0.0,si
2019-03,RU,9.0,no
2019-03,SE,0.1,si
2019-03,SI,0.1,si
2019-03,SK,0.0,si
2019-03,US,25.8,no
2019-04,AT,0.0,si
2019-04,BE,78.8,si
2019-04,BG,0.0,si
2019-04,CH,26.1,no
2019-04,CN,21.4,no
2019-04,CZ,0.2,si
2019-04,DE,18.0,si
2019-04,DK,0.1,si
2019-04,DZ,187.9,no
2019-04,ES,11.4,si
2019-04,FR,81.6,si
2019-04,GB,2.4,no
2019-04,IE,0.0,si
2019-04,IT,23.2,si
2019-04,LU,0.1,si
2019-04,MU,0.0,no
2019-04,NL,19.5,si
2019-04,OM,0.0,no
2019-04,PL,22.5,si
2019-04,PT,22.7,si
2019-04,QA,110.1,no
2019-04,RU,5.6,no
2019-04,SK,0.0,si
2019-04,TR,0.0,no
2019-04,US,71.4,no
2019-05,AT,0.2,si
2019-05,BE,78.0,si
2019-05,BG,0.0,si
2019-05,CH,11.4,no
2019-05,CN,9.2,no
2019-05,CZ,0.4,si
2019-05,DE,49.5,si
2019-05,DK,0.1,si
2019-05,DZ,130.5,no
2019-05,ES,0.8,si
2019-05,FI,4.4,si
2019-05,FR,56.3,si
2019-05,GB,3.8,no
2019-05,GR,0.0,si
2019-05,IT,17.2,si
2019-05,LU,0.0,si
2019-05,NL,21.6,si
2019-05,PL,13.1,si
2019-05,PT,11.6,si
2019-05,QA,130.9,no
2019-05,RU,4.5,no
2019-05,SK,0.0,si
2019-05,US,59.2,no
2019-05,ZA,0.3,no
2019-06,AT,0.9,si
2019-06,BE,40.1,si
2019-06,BG,0.0,si
2019-06,CH,0.0,no
2019-06,CN,0.3,no
2019-06,CZ,0.2,si
2019-06,DE,62.8,si
2019-06,DK,0.1,si
2019-06,DZ,82.4,no
2019-06,ES,0.6,si
2019-06,FR,60.9,si
2019-06,GB,0.3,no
2019-06,IT,2.5,si
2019-06,LU,0.1,si
2019-06,NL,16.0,si
2019-06,PL,15.9,si
2019-06,PT,33.0,si
2019-06,QA,173.3,no
2019-06,RU,0.0,no
2019-06,SE,0.0,si
2019-06,SK,0.0,si
2019-06,US,30.3,no
2019-07,AT,1.1,si
2019-07,BE,110.5,si
2019-07,BG,0.0,si
2019-07,CH,0.0,no
2019-07,CN,22.6,no
2019-07,CZ,0.4,si
2019-07,DE,28.1,si
2019-07,DK,0.0,si
2019-07,DZ,159.5,no
2019-07,ES,0.2,si
2019-07,FR,18.6,si
2019-07,GB,0.7,no
2019-07,IT,20.1,si
2019-07,LU,0.1,si
2019-07,LV,0.0,si
2019-07,MU,0.0,no
2019-07,NL,0.3,si
2019-07,OM,0.1,no
2019-07,PL,32.7,si
2019-07,PT,4.4,si
2019-07,QA,146.2,no
2019-07,RU,1.1,no
2019-07,SK,0.0,si
2019-07,US,54.1,no
2019-08,AT,0.3,si
2019-08,BE,72.1,si
2019-08,BG,0.0,si
2019-08,CH,0.5,no
2019-08,CN,0.0,no
2019-08,CZ,0.3,si
2019-08,DE,37.8,si
2019-08,DK,0.0,si
2019-08,DZ,205.9,no
2019-08,ES,0.5,si
2019-08,FI,0.6,si
2019-08,FR,50.4,si
2019-08,GB,0.6,no
2019-08,GN,0.2,no
2019-08,IT,7.7,si
2019-08,LU,0.0,si
2019-08,MU,0.0,no
2019-08,NL,0.8,si
2019-08,PL,24.3,si
2019-08,PT,7.0,si
2019-08,QA,108.4,no
2019-08,RO,0.1,si
2019-08,SE,0.0,si
2019-08,SI,0.0,si
2019-08,US,29.1,no
2019-09,AT,0.4,si
2019-09,BE,75.5,si
2019-09,BG,0.0,si
2019-09,CH,0.7,no
2019-09,CN,0.2,no
2019-09,CZ,0.2,si
2019-09,DE,27.2,si
2019-09,DK,0.1,si
2019-09,DZ,167.1,no
2019-09,EE,0.0,si
2019-09,ES,0.9,si
2019-09,FR,43.0,si
2019-09,GB,0.7,no
2019-09,IT,7.6,si
2019-09,LU,0.1,si
2019-09,MU,0.0,no
2019-09,NL,5.6,si
2019-09,PL,12.1,si
2019-09,PT,17.5,si
2019-09,QA,105.2,no
2019-09,RO,0.1,si
2019-09,TR,0.1,no
2019-09,US,34.2,no
2019-10,AT,0.6,si
2019-10,BE,91.4,si
2019-10,BG,0.0,si
2019-10,CH,0.0,no
2019-10,CN,22.7,no
2019-10,CZ,0.2,si
2019-10,DE,36.0,si
2019-10,DK,0.0,si
2019-10,DZ,183.9,no
2019-10,ES,0.4,si
2019-10,FR,93.0,si
2019-10,GB,1.2,no
2019-10,IT,6.7,si
2019-10,LU,0.1,si
2019-10,MU,0.0,no
2019-10,MY,0.0,no
2019-10,NL,39.7,si
2019-10,OM,0.0,no
2019-10,PL,28.2,si
2019-10,PT,20.9,si
2019-10,QA,146.5,no
2019-10,RU,0.7,no
2019-10,SE,0.1,si
2019-10,SI,0.0,si
2019-10,SK,0.1,si
2019-10,US,52.3,no
2019-10,ZA,0.3,no
2019-11,AT,0.5,si
2019-11,AZ,0.0,no
2019-11,BE,63.5,si
2019-11,BG,0.0,si
2019-11,CN,0.3,no
2019-11,CZ,0.4,si
2019-11,DE,28.7,si
2019-11,DK,0.2,si
2019-11,DZ,147.8,no
2019-11,ES,0.8,si
2019-11,FR,33.6,si
2019-11,GB,3.0,no
2019-11,IE,0.0,si
2019-11,IL,0.0,no
2019-11,IT,22.9,si
2019-11,LU,0.2,si
2019-11,MU,0.0,no
2019-11,NL,22.7,si
2019-11,PL,12.5,si
2019-11,PT,22.0,si
2019-11,QA,142.6,no
2019-11,SI,0.0,si
2019-11,TW,0.0,no
2019-11,US,39.9,no
2019-12,AT,5.1,si
2019-12,BE,59.5,si
2019-12,BG,0.0,si
2019-12,BR,0.1,no
2019-12,CH,0.0,no
2019-12,CN,0.3,no
2019-12,CZ,0.2,si
2019-12,DE,50.5,si
2019-12,DK,0.2,si
2019-12,DZ,170.6,no
2019-12,ES,0.6,si
2019-12,FR,62.9,si
2019-12,GB,2.3,no
2019-12,IT,3.7,si
2019-12,LU,0.1,si
2019-12,LV,0.0,si
2019-12,NL,81.0,si
2019-12,PL,23.7,si
2019-12,PT,0.4,si
2019-12,QA,144.2,no
2019-12,RU,9.7,no
2019-12,SE,0.0,si
2019-12,SI,0.0,si
2019-12,TN,8.6,no
2019-12,US,38.4,no
2020-01,AT,0.9,si
2020-01,BE,103.4,si
2020-01,BG,0.0,si
