mese,codice_cn8,descrizione,valore_eur,quantita_t,eur_per_kg,provvisorio
2019-01,27090090,Oli greggi di petrolio,1686541601.0,4619098.1,0.3651,no
2019-02,27090090,Oli greggi di petrolio,1768007902.0,4435855.7,0.3986,no
2019-03,27090090,Oli greggi di petrolio,2060739651.0,4898362.9,0.4207,no
2019-04,27090090,Oli greggi di petrolio,2254770622.0,4986731.1,0.4522,no
2019-05,27090090,Oli greggi di petrolio,2256200393.0,4754970.0,0.4745,no
2019-06,27090090,Oli greggi di petrolio,2273488697.0,5169861.7,0.4398,no
2019-07,27090090,Oli greggi di petrolio,2451567044.0,5782516.6,0.424,no
2019-08,27090090,Oli greggi di petrolio,2383222547.0,5896424.5,0.4042,no
2019-09,27090090,Oli greggi di petrolio,2503529248.0,6082744.6,0.4116,no
2019-10,27090090,Oli greggi di petrolio,2059765642.0,5010455.7,0.4111,no
2019-11,27090090,Oli greggi di petrolio,2045844096.0,4967419.8,0.4119,no
2019-12,27090090,Oli greggi di petrolio,2249842521.0,5184651.0,0.4339,no
2020-01,27090090,Oli greggi di petrolio,2462062471.0,5547376.7,0.4438,no
2020-02,27090090,Oli greggi di petrolio,1654881371.0,4322969.4,0.3828,no
2020-03,27090090,Oli greggi di petrolio,1366119257.0,4412484.5,0.3096,no
2020-04,27090090,Oli greggi di petrolio,615874208.0,3757809.4,0.1639,no
2020-05,27090090,Oli greggi di petrolio,456008313.0,3394340.6,0.1343,no
2020-06,27090090,Oli greggi di petrolio,906986347.0,3809419.3,0.2381,no
2020-07,27090090,Oli greggi di petrolio,1184686150.0,4226858.3,0.2803,no
2020-08,27090090,Oli greggi di petrolio,1081365550.0,3825797.3,0.2827,no
2020-09,27090090,Oli greggi di petrolio,1184342027.0,4430841.5,0.2673,no
2020-10,27090090,Oli greggi di petrolio,1041288918.0,4062110.9,0.2563,no
2020-11,27090090,Oli greggi di petrolio,927208383.0,3685555.8,0.2516,no
2020-12,27090090,Oli greggi di petrolio,1275955410.0,4260738.7,0.2995,no
2021-01,27090090,Oli greggi di petrolio,1303496750.0,4011297.9,0.325,no
2021-02,27090090,Oli greggi di petrolio,1266354515.0,3498051.6,0.362,no
2021-03,27090090,Oli greggi di petrolio,1892452972.0,4718184.1,0.4011,no
2021-04,27090090,Oli greggi di petrolio,1874642666.0,4681883.1,0.4004,no
2021-05,27090090,Oli greggi di petrolio,2069547667.0,5046178.8,0.4101,no
