mese,codice_cn8,dichiarante,origine,valore_eur,quantita_t,eur_per_kg,fuori_banda
2019-01,27101971,IT,BE,2487.0,0.005,497.4,no
2019-01,27101971,IT,DE,133.0,0.001,133.0,no
2019-01,27101971,IT,FR,596.0,0.002,298.0,no
2019-01,27101971,IT,KR,682570.0,954.54,0.7151,no
2019-01,27101971,IT,NL,30.0,0.001,30.0,no
2019-01,27101971,IT,RO,31.0,0.008,3.875,no
2019-01,27101971,IT,TW,637546.0,761.56,0.8372,no
2019-01,27101971,IT,US,2824101.0,4221.42,0.669,no
2019-01,27101981,IT,AL,37863.0,27.093,1.3975,no
2019-01,27101981,IT,AT,259673.0,69.509,3.7358,no
2019-01,27101981,IT,BE,1682883.0,652.224,2.5802,no
2019-01,27101981,IT,BG,25938.0,7.022,3.6938,no
2019-01,27101981,IT,CY,135013.0,36.491,3.6999,no
2019-01,27101981,IT,CZ,98826.0,25.721,3.8422,no
2019-01,27101981,IT,DE,1173483.0,351.926,3.3345,no
2019-01,27101981,IT,DK,8482.0,2.3,3.6878,no
2019-01,27101981,IT,EG,14903.0,10.417,1.4306,no
2019-01,27101981,IT,ES,1330517.0,591.114,2.2509,no
2019-01,27101981,IT,FI,10055.0,2.432,4.1345,no
2019-01,27101981,IT,FR,1445331.0,800.499,1.8055,no
2019-01,27101981,IT,GB,91035.0,21.356,4.2627,no
2019-01,27101981,IT,GR,177388.0,139.551,1.2711,no
2019-01,27101981,IT,HR,44878.0,12.133,3.6988,no
2019-01,27101981,IT,HU,150067.0,84.061,1.7852,no
2019-01,27101981,IT,IL,32903.0,10.601,3.1038,no
2019-01,27101981,IT,LT,13662.0,3.701,3.6914,no
2019-01,27101981,IT,LU,7542.0,2.04,3.6971,no
2019-01,27101981,IT,LV,9826.0,2.658,3.6968,no
2019-01,27101981,IT,MT,24632.0,6.658,3.6996,no
2019-01,27101981,IT,NL,887391.0,436.378,2.0335,no
2019-01,27101981,IT,PL,736189.0,197.727,3.7233,no
2019-01,27101981,IT,PT,65484.0,14.054,4.6595,no
2019-01,27101981,IT,RO,167775.0,45.376,3.6974,no
2019-01,27101981,IT,SE,232545.0,113.258,2.0532,no
2019-01,27101981,IT,SI,126925.0,26.451,4.7985,no
2019-01,27101981,IT,SK,70621.0,19.094,3.6986,no
2019-01,27101981,IT,TR,65962.0,44.04,1.4978,no
2019-01,27101981,IT,US,17233.0,1.717,10.0367,no
2019-01,27101983,IT,AT,4555.0,2.944,1.5472,no
2019-01,27101983,IT,BE,118209.0,56.805,2.081,no
2019-01,27101983,IT,CZ,18246.0,6.852,2.6629,no
2019-01,27101983,IT,DE,319761.0,162.028,1.9735,no
2019-01,27101983,IT,DK,298.0,0.036,8.2778,no
2019-01,27101983,IT,ES,261090.0,217.175,1.2022,no
2019-01,27101983,IT,FR,154845.0,79.774,1.941,no
2019-01,27101983,IT,GB,17821.0,5.856,3.0432,no
2019-01,27101983,IT,GR,4542.0,4.357,1.0425,no
2019-01,27101983,IT,HU,103085.0,105.275,0.9792,no
2019-01,27101983,IT,NL,48176.0,33.102,1.4554,no
2019-01,27101983,IT,NO,1194.0,0.5,2.388,no
2019-01,27101983,IT,SE,45257.0,28.712,1.5762,no
2019-01,27101983,IT,SI,9.0,0.001,9.0,no
2019-01,27101983,IT,SK,1174.0,0.08,14.675,no
2019-01,27101985,IT,AT,7004.0,1.75,4.0023,no
2019-01,27101985,IT,BE,1767.0,0.336,5.2589,no
2019-01,27101985,IT,BG,801.0,0.201,3.9851,no
2019-01,27101985,IT,DE,682109.0,598.524,1.1397,no
2019-01,27101985,IT,DK,271.0,0.068,3.9853,no
2019-01,27101985,IT,ES,52176.0,32.103,1.6253,no
2019-01,27101985,IT,FR,238631.0,188.169,1.2682,no
2019-01,27101985,IT,GB,58808.0,39.645,1.4834,no
2019-01,27101985,IT,HR,45632.0,11.408,4.0,no
2019-01,27101985,IT,HU,2738.0,0.731,3.7456,no
2019-01,27101985,IT,IN,286966.0,320.06,0.8966,no
2019-01,27101985,IT,NL,263700.0,228.179,1.1557,no
2019-01,27101985,IT,PL,1601.0,0.402,3.9826,no
2019-01,27101985,IT,PT,9364.0,4.134,2.2651,no
2019-01,27101985,IT,RO,84906.0,21.227,3.9999,no
2019-01,27101985,IT,SI,217712.0,54.428,4.0,no
2019-01,27101987,IT,AL,2288.0,1.264,1.8101,no
2019-01,27101987,IT,AT,105.0,0.009,11.6667,no
2019-01,27101987,IT,BE,84201.0,29.419,2.8621,no
2019-01,27101987,IT,CZ,8787.0,1.61,5.4578,no
2019-01,27101987,IT,DE,416101.0,150.43,2.7661,no
2019-01,27101987,IT,DK,24.0,0.002,12.0,no
2019-01,27101987,IT,ES,102685.0,50.993,2.0137,no
2019-01,27101987,IT,FR,339620.0,149.732,2.2682,no
2019-01,27101987,IT,GB,222.0,0.033,6.7273,no
2019-01,27101987,IT,GR,19856.0,18.361,1.0814,no
2019-01,27101987,IT,HU,13203.0,7.231,1.8259,no
2019-01,27101987,IT,NL,102668.0,41.591,2.4685,no
2019-01,27101987,IT,PL,11.0,0.001,11.0,no
2019-01,27101987,IT,SE,26597.0,4.142,6.4213,no
2019-01,27101987,IT,SK,1426.0,0.88,1.6205,no
2019-01,27101987,IT,TR,6551.0,1.084,6.0434,no
2019-01,27101987,IT,US,7828.0,1.119,6.9955,no
2019-01,27101991,IT,AT,227.0,0.022,10.3182,no
2019-01,27101991,IT,BE,1449.0,0.329,4.4043,no
2019-01,27101991,IT,CZ,735.0,0.168,4.375,no
2019-01,27101991,IT,DE,388009.0,165.315,2.3471,no
2019-01,27101991,IT,ES,6961.0,2.73,2.5498,no
2019-01,27101991,IT,FR,79528.0,36.542,2.1763,no
2019-01,27101991,IT,GB,255977.0,203.374,1.2587,no
2019-01,27101991,IT,MX,31554.0,6.718,4.6969,no
2019-01,27101991,IT,NL,23.0,0.005,4.6,no
2019-01,27101991,IT,SK,398.0,0.001,398.0,no
2019-01,27101991,IT,US,7565.0,0.217,34.8618,no
2019-01,27101993,IT,BE,90397.0,90.839,0.9951,no
2019-01,27101993,IT,DE,128.0,0.003,42.6667,no
2019-01,27101993,IT,FR,129447.0,139.16,0.9302,no
2019-01,27101993,IT,GB,170475.0,113.96,1.4959,no
2019-01,27101999,IT,AT,648852.0,799.493,0.8116,no
2019-01,27101999,IT,BE,4105445.0,4270.272,0.9614,no
2019-01,27101999,IT,BG,32180.0,16.338,1.9696,no
2019-01,27101999,IT,CH,57579.0,19.037,3.0246,no
2019-01,27101999,IT,CZ,33668.0,26.496,1.2707,no
2019-01,27101999,IT,DE,1749884.0,1039.215,1.6839,no
2019-01,27101999,IT,DK,2124.0,0.335,6.3403,no
2019-01,27101999,IT,ES,2519237.0,3108.381,0.8105,no
2019-01,27101999,IT,FI,126.0,0.001,126.0,no
2019-01,27101999,IT,FR,1708149.0,1249.378,1.3672,no
2019-01,27101999,IT,GB,2604315.0,3909.814,0.6661,no
2019-01,27101999,IT,GR,171987.0,146.094,1.1772,no
2019-01,27101999,IT,HR,1945756.0,7010.381,0.2776,no
2019-01,27101999,IT,HU,1437430.0,1861.652,0.7721,no
2019-01,27101999,IT,JP,72460.0,4.59,15.7865,no
2019-01,27101999,IT,LU,1295.0,0.016,80.9375,no
2019-01,27101999,IT,LV,113.0,0.018,6.2778,no
2019-01,27101999,IT,NL,3385172.0,4144.41,0.8168,no
2019-01,27101999,IT,PL,1002196.0,1485.623,0.6746,no
2019-01,27101999,IT,PT,2632.0,0.412,6.3883,no
2019-01,27101999,IT,RO,122086.0,20.075,6.0815,no
2019-01,27101999,IT,RU,581296.0,889.033,0.6539,no
2019-01,27101999,IT,SE,77006.0,86.137,0.894,no
2019-01,27101999,IT,SI,412190.0,68.044,6.0577,no
2019-01,27101999,IT,TR,50053.0,32.745,1.5286,no
2019-01,27101999,IT,US,112957.0,13.441,8.4039,no
2019-01,27101999,IT,XS,1438.0,23.96,0.06,no
2019-02,27101971,IT,DE,155.0,0.004,38.75,no
2019-02,27101971,IT,KR,654045.0,934.35,0.7,no
2019-02,27101971,IT,NL,69.0,0.002,34.5,no
2019-02,27101981,IT,AL,57360.0,37.952,1.5114,no
2019-02,27101981,IT,AT,286964.0,74.566,3.8485,no
2019-02,27101981,IT,BE,1390834.0,556.371,2.4998,no
2019-02,27101981,IT,BG,24713.0,6.636,3.7241,no
2019-02,27101981,IT,CY,137367.0,36.828,3.73,no
2019-02,27101981,IT,CZ,118036.0,30.724,3.8418,no
2019-02,27101981,IT,DE,1190910.0,323.673,3.6794,no
2019-02,27101981,IT,DK,8628.0,2.321,3.7174,no
2019-02,27101981,IT,ES,1151843.0,482.326,2.3881,no
2019-02,27101981,IT,FI,8238.0,2.165,3.8051,no
2019-02,27101981,IT,FR,1623523.0,1162.901,1.3961,no
2019-02,27101981,IT,GB,75740.0,27.059,2.7991,no
2019-02,27101981,IT,GR,33266.0,21.746,1.5298,no
2019-02,27101981,IT,HR,45796.0,12.251,3.7381,no
2019-02,27101981,IT,HU,120913.0,67.592,1.7889,no
2019-02,27101981,IT,LT,13899.0,3.732,3.7243,no
2019-02,27101981,IT,LU,7673.0,2.061,3.723,no
2019-02,27101981,IT,LV,9997.0,2.682,3.7274,no
2019-02,27101981,IT,MT,25061.0,6.719,3.7299,no
2019-02,27101981,IT,NL,841483.0,416.567,2.02,no
2019-02,27101981,IT,PL,750864.0,204.002,3.6807,no
2019-02,27101981,IT,PT,18600.0,4.912,3.7866,no
2019-02,27101981,IT,QV,373.0,0.087,4.2874,no
