id,nome,paese,lat,lon,navi_anno,petroliere_anno,industria_1,industria_2,industria_3
chokepoint1,Suez Canal,,30.59334599,32.43688221,19787,6418,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint2,Panama Canal,,9.120512367,-79.76723825,11020,4507,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint3,Bosporus Strait,,41.16928167,29.09150126,35125,8555,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint4,Bab el-Mandeb Strait,,12.78859715,43.34954476,19306,6424,Mineral Products,Chemical & Allied Industries,Vegetable Products
chokepoint5,Malacca Strait,,1.516954817,102.6651061,71451,27469,Mineral Products,Chemical & Allied Industries,Vegetable Products
chokepoint6,Strait of Hormuz,,26.29685349,56.85984844,32496,19540,Mineral Products,Chemical & Allied Industries,Vegetable Products
chokepoint7,Cape of Good Hope,,-34.92728556,20.88273666,21531,4706,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages
chokepoint8,Gibraltar Strait,,35.94227416,-5.754895722,47801,15666,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint9,Dover Strait,,51.03022414,1.505839717,60580,21126,Mineral Products,Chemical & Allied Industries,Vegetable Products
chokepoint10,Oresund Strait,,55.50784043,12.85079477,17833,4318,Mineral Products,Wood & Wood Products,Chemical & Allied Industries
chokepoint11,Taiwan Strait,,24.72350972,119.8313644,88436,20406,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint12,Korea Strait,,34.13076811,129.209206,82119,22732,Mineral Products,Vegetable Products,Metals
chokepoint13,Tsugaru Strait,,41.32803599,140.3532743,16440,4443,Mineral Products,Vegetable Products,Metals
chokepoint14,Luzon Strait,,20.488890710794,121.352295045579,25748,8950,Mineral Products,Vegetable Products,Wood & Wood Products
chokepoint15,Lombok Strait,,-8.41914514129252,115.801433044024,12918,2616,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint16,Ombai Strait,,-8.39854120024364,125.090981399512,4084,1355,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages
chokepoint17,Bohai Strait,,38.373044249766,120.900049176636,64100,13290,Mineral Products,Metals,Vegetable Products
chokepoint18,Torres Strait,,-9.86253413199954,142.247528743501,3308,739,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint19,Sunda Strait,,-5.96684057041462,105.775219888066,10393,4069,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages
chokepoint20,Makassar Strait,,0.352280586988657,119.257065444388,19117,1909,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages
chokepoint21,Magellan Strait,,-52.6403396677892,-69.5948324606974,1426,359,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages
chokepoint22,Yucatan Channel,,21.8152541926988,-85.6472792223515,16416,8402,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint23,Windward Passage,,19.9861871932071,-73.6975398964955,5600,766,Mineral Products,Vegetable Products,Wood & Wood Products
chokepoint24,Mona Passage,,18.4487355684237,-67.7113544869163,3714,899,Mineral Products,Vegetable Products,Chemical & Allied Industries
chokepoint25,Balabac Strait,,7.413614993177675,117.11462168266297,3794,1286,,,
chokepoint26,Bering Strait,,65.96648859155934,-165.54982861145731,294,128,,,
chokepoint27,Mindoro Strait,,12.468315371959248,120.40342787801248,16493,1334,,,
chokepoint28,Kerch Strait,,45.26676309041701,36.54390169965004,10390,2559,,,
