id,nome,mese,navi_giorno_media,petroliere_giorno_media
chokepoint1,Suez Canal,2019-01,49.71,16.03
chokepoint1,Suez Canal,2019-02,50.5,15.32
chokepoint1,Suez Canal,2019-03,49.74,16.97
chokepoint1,Suez Canal,2019-04,52.37,15.9
chokepoint1,Suez Canal,2019-05,51.65,15.97
chokepoint1,Suez Canal,2019-06,49.6,15.43
chokepoint1,Suez Canal,2019-07,51.55,14.87
chokepoint1,Suez Canal,2019-08,55.1,16.1
chokepoint1,Suez Canal,2019-09,53.03,16.27
chokepoint1,Suez Canal,2019-10,56.77,17.65
chokepoint1,Suez Canal,2019-11,53.5,17.1
chokepoint1,Suez Canal,2019-12,54.35,17.71
chokepoint1,Suez Canal,2020-01,53.48,16.68
chokepoint1,Suez Canal,2020-02,53.59,16.52
chokepoint1,Suez Canal,2020-03,53.55,15.71
chokepoint1,Suez Canal,2020-04,57.5,20.17
chokepoint1,Suez Canal,2020-05,52.13,19.39
chokepoint1,Suez Canal,2020-06,46.23,15.3
chokepoint1,Suez Canal,2020-07,46.77,13
chokepoint1,Suez Canal,2020-08,50.61,13.13
chokepoint1,Suez Canal,2020-09,52.13,13.13
chokepoint1,Suez Canal,2020-10,53.29,13
chokepoint1,Suez Canal,2020-11,54.43,14.47
chokepoint1,Suez Canal,2020-12,51.81,15.45
chokepoint1,Suez Canal,2021-01,52.19,16.1
chokepoint1,Suez Canal,2021-02,56.11,16.43
chokepoint1,Suez Canal,2021-03,48.03,14.03
chokepoint1,Suez Canal,2021-04,60.37,16.47
chokepoint1,Suez Canal,2021-05,56.13,15.84
chokepoint1,Suez Canal,2021-06,55.1,15.8
chokepoint1,Suez Canal,2021-07,55.55,14.81
chokepoint1,Suez Canal,2021-08,61.87,16.58
chokepoint1,Suez Canal,2021-09,63.07,17.4
chokepoint1,Suez Canal,2021-10,61.1,16.9
chokepoint1,Suez Canal,2021-11,62.93,17.97
chokepoint1,Suez Canal,2021-12,58.61,16.9
chokepoint1,Suez Canal,2022-01,58.9,15.29
chokepoint1,Suez Canal,2022-02,62.82,15.64
chokepoint1,Suez Canal,2022-03,60.35,17.35
chokepoint1,Suez Canal,2022-04,64.8,20.67
chokepoint1,Suez Canal,2022-05,63.9,20.23
chokepoint1,Suez Canal,2022-06,67.73,23
chokepoint1,Suez Canal,2022-07,71.13,23.1
chokepoint1,Suez Canal,2022-08,71.45,22.52
chokepoint1,Suez Canal,2022-09,69.3,23.7
chokepoint1,Suez Canal,2022-10,70.77,22.13
chokepoint1,Suez Canal,2022-11,71.63,23.93
chokepoint1,Suez Canal,2022-12,72.39,24.61
chokepoint1,Suez Canal,2023-01,71.03,24.42
chokepoint1,Suez Canal,2023-02,69.82,25.68
chokepoint1,Suez Canal,2023-03,71.61,25.68
chokepoint1,Suez Canal,2023-04,77.23,27.43
chokepoint1,Suez Canal,2023-05,77.42,26.77
chokepoint1,Suez Canal,2023-06,75.13,26.47
chokepoint1,Suez Canal,2023-07,71.29,26.1
chokepoint1,Suez Canal,2023-08,71.42,23.39
chokepoint1,Suez Canal,2023-09,74.13,25.17
chokepoint1,Suez Canal,2023-10,76.13,24.94
chokepoint1,Suez Canal,2023-11,76.53,24.93
chokepoint1,Suez Canal,2023-12,71.42,24.68
chokepoint1,Suez Canal,2024-01,47.97,15.81
chokepoint1,Suez Canal,2024-02,42.28,13.34
chokepoint1,Suez Canal,2024-03,38.81,13.55
chokepoint1,Suez Canal,2024-04,40.83,14.33
chokepoint1,Suez Canal,2024-05,40.68,15.13
chokepoint1,Suez Canal,2024-06,38.93,14.8
chokepoint1,Suez Canal,2024-07,38.32,14.13
chokepoint1,Suez Canal,2024-08,40.16,14.94
chokepoint1,Suez Canal,2024-09,37.4,15.1
chokepoint1,Suez Canal,2024-10,37.48,14.23
chokepoint1,Suez Canal,2024-11,36,13.3
chokepoint1,Suez Canal,2024-12,35.68,13.16
chokepoint1,Suez Canal,2025-01,37.13,13.03
chokepoint1,Suez Canal,2025-02,34.11,12.21
chokepoint1,Suez Canal,2025-03,37.23,14.61
chokepoint1,Suez Canal,2025-04,36.9,14.33
chokepoint1,Suez Canal,2025-05,36.97,14.39
chokepoint1,Suez Canal,2025-06,36.57,14.47
chokepoint1,Suez Canal,2025-07,37.81,15.35
chokepoint1,Suez Canal,2025-08,38.52,14.81
chokepoint1,Suez Canal,2025-09,41.83,15.87
chokepoint1,Suez Canal,2025-10,41.23,15.32
chokepoint1,Suez Canal,2025-11,42.87,15.1
chokepoint1,Suez Canal,2025-12,39.97,15.35
chokepoint1,Suez Canal,2026-01,38.97,14.42
chokepoint1,Suez Canal,2026-02,41.29,17.39
chokepoint1,Suez Canal,2026-03,40.97,16.84
chokepoint1,Suez Canal,2026-04,42.03,17.8
chokepoint1,Suez Canal,2026-05,38.97,15.97
chokepoint1,Suez Canal,2026-06,40.3,15.53
chokepoint1,Suez Canal,2026-07,41.81,15.71
chokepoint1,Suez Canal,2026-08,40.31,16.06
chokepoint2,Panama Canal,2019-01,31.26,11.87
chokepoint2,Panama Canal,2019-02,31.11,11.57
chokepoint2,Panama Canal,2019-03,31,12.26
chokepoint2,Panama Canal,2019-04,30.03,11.7
chokepoint2,Panama Canal,2019-05,31,12.16
chokepoint2,Panama Canal,2019-06,30.33,12.2
chokepoint2,Panama Canal,2019-07,30.48,11.19
chokepoint2,Panama Canal,2019-08,33.74,11.97
chokepoint2,Panama Canal,2019-09,31.5,11.6
chokepoint2,Panama Canal,2019-10,33.77,13.94
chokepoint2,Panama Canal,2019-11,34.73,14.2
chokepoint2,Panama Canal,2019-12,32.94,13.52
chokepoint2,Panama Canal,2020-01,32.06,12.97
chokepoint2,Panama Canal,2020-02,31.55,12.86
chokepoint2,Panama Canal,2020-03,31.32,13.61
chokepoint2,Panama Canal,2020-04,29.43,11.67
chokepoint2,Panama Canal,2020-05,26.55,9.97
chokepoint2,Panama Canal,2020-06,25.93,10.47
chokepoint2,Panama Canal,2020-07,28.42,11.42
chokepoint2,Panama Canal,2020-08,30.32,11.84
chokepoint2,Panama Canal,2020-09,29.73,10.57
chokepoint2,Panama Canal,2020-10,33.26,12.26
chokepoint2,Panama Canal,2020-11,32.57,12.63
chokepoint2,Panama Canal,2020-12,33.35,12.58
chokepoint2,Panama Canal,2021-01,32.71,13.35
chokepoint2,Panama Canal,2021-02,32.86,12.39
chokepoint2,Panama Canal,2021-03,32.77,12.42
chokepoint2,Panama Canal,2021-04,32.03,12.8
chokepoint2,Panama Canal,2021-05,31.23,12.71
chokepoint2,Panama Canal,2021-06,31,13.2
chokepoint2,Panama Canal,2021-07,31.65,12.9
chokepoint2,Panama Canal,2021-08,33.52,13.9
chokepoint2,Panama Canal,2021-09,28.63,10.8
chokepoint2,Panama Canal,2021-10,32.03,11.29
chokepoint2,Panama Canal,2021-11,35.17,13.83
chokepoint2,Panama Canal,2021-12,35.32,13.42
chokepoint2,Panama Canal,2022-01,33,12.71
chokepoint2,Panama Canal,2022-02,34.39,12.68
chokepoint2,Panama Canal,2022-03,32.74,12.61
chokepoint2,Panama Canal,2022-04,32.73,13.13
chokepoint2,Panama Canal,2022-05,33.26,14.19
chokepoint2,Panama Canal,2022-06,34.77,14.1
chokepoint2,Panama Canal,2022-07,31.97,12.87
chokepoint2,Panama Canal,2022-08,34.32,14.45
chokepoint2,Panama Canal,2022-09,31.6,12.27
chokepoint2,Panama Canal,2022-10,33.03,13.26
chokepoint2,Panama Canal,2022-11,33.63,14
chokepoint2,Panama Canal,2022-12,34,12.97
chokepoint2,Panama Canal,2023-01,32.61,12.23
chokepoint2,Panama Canal,2023-02,31.96,12.36
chokepoint2,Panama Canal,2023-03,32.81,13.35
chokepoint2,Panama Canal,2023-04,33.77,13.57
chokepoint2,Panama Canal,2023-05,30.9,11.97
chokepoint2,Panama Canal,2023-06,30.6,12.87
chokepoint2,Panama Canal,2023-07,31.48,13.55
chokepoint2,Panama Canal,2023-08,30.94,13.39
chokepoint2,Panama Canal,2023-09,31,13.17
chokepoint2,Panama Canal,2023-10,30.06,12.26
chokepoint2,Panama Canal,2023-11,24.1,10.47
chokepoint2,Panama Canal,2023-12,21.68,9.68
chokepoint2,Panama Canal,2024-01,19.45,8.29
chokepoint2,Panama Canal,2024-02,20.79,8.48
chokepoint2,Panama Canal,2024-03,21.65,9.48
chokepoint2,Panama Canal,2024-04,23.67,10.67
chokepoint2,Panama Canal,2024-05,24.68,10.74
chokepoint2,Panama Canal,2024-06,27.47,11.63
chokepoint2,Panama Canal,2024-07,28.48,11.9
chokepoint2,Panama Canal,2024-08,29.39,11.97
chokepoint2,Panama Canal,2024-09,30.07,12.3
chokepoint2,Panama Canal,2024-10,29.42,11.55
chokepoint2,Panama Canal,2024-11,31.2,12.63
chokepoint2,Panama Canal,2024-12,31.29,13.06
chokepoint2,Panama Canal,2025-01,29.68,12.35
chokepoint2,Panama Canal,2025-02,31.68,13
chokepoint2,Panama Canal,2025-03,31.19,12.68
chokepoint2,Panama Canal,2025-04,31.17,12.1
chokepoint2,Panama Canal,2025-05,30.03,12.13
chokepoint2,Panama Canal,2025-06,29.97,11.83
chokepoint2,Panama Canal,2025-07,31.26,13.16
chokepoint2,Panama Canal,2025-08,31.16,12.48
chokepoint2,Panama Canal,2025-09,31.6,12.57
chokepoint2,Panama Canal,2025-10,31.81,12.97
chokepoint2,Panama Canal,2025-11,31.6,13.43
chokepoint2,Panama Canal,2025-12,31.35,13.03
chokepoint2,Panama Canal,2026-01,30.61,12.32
chokepoint2,Panama Canal,2026-02,32.18,13.57
chokepoint2,Panama Canal,2026-03,33.81,14.23
chokepoint2,Panama Canal,2026-04,34.53,16.13
chokepoint2,Panama Canal,2026-05,34.32,15.61
chokepoint2,Panama Canal,2026-06,29.57,13.97
chokepoint2,Panama Canal,2026-07,32.1,14.06
chokepoint2,Panama Canal,2026-08,29.88,13.44
chokepoint3,Bosporus Strait,2019-01,99.81,25.68
chokepoint3,Bosporus Strait,2019-02,99.36,25.79
chokepoint3,Bosporus Strait,2019-03,106.9,26.1
chokepoint3,Bosporus Strait,2019-04,100,21.9
chokepoint3,Bosporus Strait,2019-05,99.16,23.74
chokepoint3,Bosporus Strait,2019-06,97.47,23.9
chokepoint3,Bosporus Strait,2019-07,104.87,25.81
chokepoint3,Bosporus Strait,2019-08,105.42,23.58
chokepoint3,Bosporus Strait,2019-09,105.93,23.43
chokepoint3,Bosporus Strait,2019-10,114,24.58
chokepoint3,Bosporus Strait,2019-11,100.87,22.4
chokepoint3,Bosporus Strait,2019-12,109.52,25.68
chokepoint3,Bosporus Strait,2020-01,102.77,26.35
chokepoint3,Bosporus Strait,2020-02,100.79,24.41
chokepoint3,Bosporus Strait,2020-03,96.29,24.45
chokepoint3,Bosporus Strait,2020-04,108.1,25.4
chokepoint3,Bosporus Strait,2020-05,96.52,23.68
chokepoint3,Bosporus Strait,2020-06,85.5,21.4
chokepoint3,Bosporus Strait,2020-07,92.55,22.35
chokepoint3,Bosporus Strait,2020-08,95.03,19.61
chokepoint3,Bosporus Strait,2020-09,97.27,20.17
chokepoint3,Bosporus Strait,2020-10,100.58,21.45
chokepoint3,Bosporus Strait,2020-11,101.23,21.9
chokepoint3,Bosporus Strait,2020-12,97.32,21.84
chokepoint3,Bosporus Strait,2021-01,92.39,20.58
chokepoint3,Bosporus Strait,2021-02,98.21,22.32
chokepoint3,Bosporus Strait,2021-03,100.42,24.29
chokepoint3,Bosporus Strait,2021-04,102.9,21.93
chokepoint3,Bosporus Strait,2021-05,98,21.71
chokepoint3,Bosporus Strait,2021-06,97.9,21.8
chokepoint3,Bosporus Strait,2021-07,92.03,21.29
chokepoint3,Bosporus Strait,2021-08,101.16,20.81
chokepoint3,Bosporus Strait,2021-09,100.9,20.8
chokepoint3,Bosporus Strait,2021-10,98.77,22.84
chokepoint3,Bosporus Strait,2021-11,101.7,23.4
chokepoint3,Bosporus Strait,2021-12,99.52,23.19
chokepoint3,Bosporus Strait,2022-01,94.52,23.97
chokepoint3,Bosporus Strait,2022-02,103.89,25.25
chokepoint3,Bosporus Strait,2022-03,77.52,20
chokepoint3,Bosporus Strait,2022-04,81.5,20.27
chokepoint3,Bosporus Strait,2022-05,83.52,22.61
chokepoint3,Bosporus Strait,2022-06,86.4,22.67
chokepoint3,Bosporus Strait,2022-07,85.16,23.06
chokepoint3,Bosporus Strait,2022-08,85.68,22.06
chokepoint3,Bosporus Strait,2022-09,94.43,24.17
chokepoint3,Bosporus Strait,2022-10,93.06,22.71
chokepoint3,Bosporus Strait,2022-11,95.43,22.97
chokepoint3,Bosporus Strait,2022-12,91.74,24.74
chokepoint3,Bosporus Strait,2023-01,91.42,23.58
chokepoint3,Bosporus Strait,2023-02,90.5,22.04
chokepoint3,Bosporus Strait,2023-03,105.23,25.26
chokepoint3,Bosporus Strait,2023-04,103.43,26.1
chokepoint3,Bosporus Strait,2023-05,103.45,25.45
chokepoint3,Bosporus Strait,2023-06,101.4,26.17
chokepoint3,Bosporus Strait,2023-07,94.35,24.32
chokepoint3,Bosporus Strait,2023-08,90.16,22.58
chokepoint3,Bosporus Strait,2023-09,89.7,22.5
chokepoint3,Bosporus Strait,2023-10,92.48,22.29
chokepoint3,Bosporus Strait,2023-11,87.73,22
chokepoint3,Bosporus Strait,2023-12,97.19,24.77
chokepoint3,Bosporus Strait,2024-01,91,23.52
chokepoint3,Bosporus Strait,2024-02,97.86,24.55
chokepoint3,Bosporus Strait,2024-03,104.81,25.9
chokepoint3,Bosporus Strait,2024-04,106.23,27.07
chokepoint3,Bosporus Strait,2024-05,98.61,25.39
chokepoint3,Bosporus Strait,2024-06,99.2,24.27
chokepoint3,Bosporus Strait,2024-07,94.74,23.52
chokepoint3,Bosporus Strait,2024-08,97.77,24.13
chokepoint3,Bosporus Strait,2024-09,91.7,23.47
