mese,codice_cn8,descrizione,valore_eur,quantita_t,eur_per_kg,provvisorio
2019-01,28042910,Elio,9135051.0,266.4,34.2866,no
2019-02,28042910,Elio,12270589.0,320.3,38.3066,no
2019-03,28042910,Elio,13555719.0,323.8,41.8641,no
2019-04,28042910,Elio,12613437.0,377.4,33.4218,no
2019-05,28042910,Elio,12426516.0,329.2,37.7522,no
2019-06,28042910,Elio,10762640.0,263.1,40.8994,no
2019-07,28042910,Elio,12752537.0,361.6,35.2698,no
2019-08,28042910,Elio,12162179.0,344.7,35.2874,no
2019-09,28042910,Elio,10812356.0,287.2,37.6508,no
2019-10,28042910,Elio,19696645.0,384.9,51.1798,no
2019-11,28042910,Elio,16764598.0,333.3,50.3052,no
2019-12,28042910,Elio,18627970.0,372.1,50.0596,no
2020-01,28042910,Elio,16626125.0,277.2,59.9888,no
2020-02,28042910,Elio,14874132.0,248.6,59.8299,no
2020-03,28042910,Elio,17228396.0,309.8,55.6137,no
2020-04,28042910,Elio,14352952.0,254.9,56.3082,no
2020-05,28042910,Elio,14606204.0,278.1,52.521,no
2020-06,28042910,Elio,19685375.0,320.3,61.4559,no
2020-07,28042910,Elio,20090414.0,341.4,58.8402,no
2020-08,28042910,Elio,15285010.0,335.3,45.5817,no
2020-09,28042910,Elio,15007214.0,341.1,43.993,no
2020-10,28042910,Elio,19123734.0,370.5,51.6164,no
2020-11,28042910,Elio,20459214.0,463.1,44.1791,no
2020-12,28042910,Elio,11598541.0,256.0,45.3024,no
2021-01,28042910,Elio,13133837.0,333.1,39.4334,no
2021-02,28042910,Elio,14578225.0,361.5,40.3303,no
2021-03,28042910,Elio,13137094.0,330.1,39.7944,no
2021-04,28042910,Elio,10409545.0,244.8,42.5298,no
2021-05,28042910,Elio,9454477.0,219.4,43.0861,no
2021-06,28042910,Elio,10951858.0,225.4,48.5974,no
2021-07,28042910,Elio,10075706.0,172.1,58.5453,si
2021-08,28042910,Elio,13005077.0,240.0,54.1792,no
2021-09,28042910,Elio,12205603.0,231.7,52.6864,no
2021-10,28042910,Elio,12100307.0,212.4,56.9592,no
2021-11,28042910,Elio,13258270.0,256.4,51.7164,no
2021-12,28042910,Elio,11124198.0,228.7,48.6319,no
2022-01,28042910,Elio,9778676.0,206.8,47.2763,no
2022-02,28042910,Elio,9281827.0,201.2,46.1433,no
2022-03,28042910,Elio,11961176.0,246.2,48.5917,no
2022-04,28042910,Elio,14798109.0,274.5,53.915,no
2022-05,28042910,Elio,12018136.0,230.7,52.0942,no
2022-06,28042910,Elio,17570421.0,296.6,59.2317,no
2022-07,28042910,Elio,9959099.0,179.6,55.4395,no
2022-08,28042910,Elio,19045323.0,284.2,67.0247,no
2022-09,28042910,Elio,17091533.0,252.5,67.6892,no
2022-10,28042910,Elio,20419606.0,267.5,76.3307,no
2022-11,28042910,Elio,20996408.0,275.7,76.1548,no
2022-12,28042910,Elio,21434935.0,274.1,78.1903,no
2023-01,28042910,Elio,21428255.0,274.2,78.156,no
2023-02,28042910,Elio,17058856.0,184.8,92.2988,no
2023-03,28042910,Elio,24572952.0,264.4,92.9505,no
2023-04,28042910,Elio,20073758.0,228.1,87.998,no
2023-05,28042910,Elio,28933971.0,324.2,89.244,no
2023-06,28042910,Elio,32277435.0,348.7,92.5701,no
2023-07,28042910,Elio,25312141.0,277.3,91.2761,no
2023-08,28042910,Elio,25412393.0,345.0,73.6516,no
2023-09,28042910,Elio,28448278.0,316.8,89.8023,no
2023-10,28042910,Elio,32073382.0,327.9,97.8166,no
2023-11,28042910,Elio,25542530.0,265.9,96.0578,no
2023-12,28042910,Elio,27018406.0,317.3,85.162,no
2024-01,28042910,Elio,27309112.0,298.1,91.6259,no
2024-02,28042910,Elio,25602513.0,289.2,88.5153,no
2024-03,28042910,Elio,42279314.0,510.2,82.8749,no
2024-04,28042910,Elio,35169338.0,396.9,88.6092,no
2024-05,28042910,Elio,40983049.0,469.6,87.2771,no
2024-06,28042910,Elio,30957283.0,327.5,94.5388,no
2024-07,28042910,Elio,30443447.0,332.7,91.513,no
2024-08,28042910,Elio,29524089.0,336.7,87.6869,no
2024-09,28042910,Elio,28245933.0,319.0,88.5386,no
2024-10,28042910,Elio,28458551.0,349.7,81.3759,no
2024-11,28042910,Elio,19660667.0,214.9,91.4667,no
2024-12,28042910,Elio,23207147.0,231.3,100.3158,no
2025-01,28042910,Elio,23873998.0,250.1,95.4525,no
2025-02,28042910,Elio,30749469.0,315.5,97.4707,no
2025-03,28042910,Elio,34251217.0,369.2,92.7614,no
2025-04,28042910,Elio,33839947.0,373.2,90.6729,no
2025-05,28042910,Elio,28201193.0,293.4,96.1183,no
2025-06,28042910,Elio,24669565.0,266.8,92.4633,no
2025-07,28042910,Elio,29635646.0,330.2,89.7631,no
2025-08,28042910,Elio,28349573.0,337.6,83.9617,no
2025-09,28042910,Elio,28839477.0,322.4,89.4611,no
2025-10,28042910,Elio,25936850.0,293.4,88.3935,no
2025-11,28042910,Elio,29035380.0,335.4,86.5635,no
2025-12,28042910,Elio,20307267.0,240.4,84.4665,no
2026-01,28042910,Elio,21854787.0,265.9,82.2001,no
2026-02,28042910,Elio,18973590.0,251.9,75.3357,no
2026-03,28042910,Elio,24192339.0,323.9,74.6954,no
2026-04,28042910,Elio,19281098.0,228.4,84.4362,no
2026-05,28042910,Elio,21323259.0,237.7,89.7153,no
2026-06,28042910,Elio,13409568.0,149.0,90.0037,no
