mese,codice_cn8,dichiarante,origine,valore_eur,quantita_t,eur_per_kg,fuori_banda
2019-01,28042910,DE,CN,69961.0,12.246,5.713,si
2019-01,28042910,DE,DZ,65771.0,1.304,50.4379,no
2019-01,28042910,DE,QA,2256063.0,42.995,52.4727,no
2019-01,28042910,DE,US,845158.0,34.309,24.6337,no
2019-01,28042910,ES,CN,29771.0,6.46,4.6085,si
2019-01,28042910,ES,QA,610477.0,13.465,45.3381,no
2019-01,28042910,FR,DZ,3544374.0,116.483,30.4283,no
2019-01,28042910,FR,GB,26793.0,2.063,12.9874,si
2019-01,28042910,FR,MU,44.0,0.006,7.3333,si
2019-01,28042910,FR,QA,185345.0,4.314,42.9636,no
2019-01,28042910,IT,CH,16841.0,11.357,1.4829,si
2019-01,28042910,IT,DZ,197493.0,4.66,42.3805,no
2019-01,28042910,IT,QA,1429055.0,48.887,29.2318,no
2019-01,28042910,IT,US,1315.0,0.015,87.6667,no
2019-01,28042910,NL,QA,226751.0,0.428,529.7921,si
2019-01,28042910,NL,US,2776.0,0.005,555.2,si
2019-02,28042910,DE,CH,37797.0,0.713,53.0112,no
2019-02,28042910,DE,DZ,48391.0,0.949,50.9916,no
2019-02,28042910,DE,JP,1711.0,0.051,33.549,no
2019-02,28042910,DE,QA,2327807.0,44.023,52.8771,no
2019-02,28042910,DE,RU,16334.0,0.32,51.0438,no
2019-02,28042910,DE,US,1029013.0,25.167,40.8874,no
2019-02,28042910,ES,GB,231.0,0.028,8.25,si
2019-02,28042910,ES,QA,607470.0,13.111,46.3329,no
2019-02,28042910,ES,US,226293.0,4.808,47.0659,no
2019-02,28042910,FR,CN,29379.0,6.5,4.5198,si
2019-02,28042910,FR,DZ,4509257.0,158.499,28.4498,no
2019-02,28042910,FR,GB,51535.0,1.551,33.227,no
2019-02,28042910,FR,MU,247.0,0.001,247.0,no
2019-02,28042910,FR,PF,5499.0,0.012,458.25,si
2019-02,28042910,IT,CH,33792.0,22.714,1.4877,si
2019-02,28042910,IT,GB,22092.0,0.151,146.3046,no
2019-02,28042910,IT,QA,1178951.0,26.296,44.8339,no
2019-02,28042910,IT,US,763670.0,13.111,58.2465,no
2019-02,28042910,NL,AE,155405.0,0.777,200.0064,no
2019-02,28042910,NL,GB,10.0,0.001,10.0,si
2019-02,28042910,NL,QA,1293972.0,30.795,42.0189,no
2019-02,28042910,NL,US,644.0,0.003,214.6667,no
2019-03,28042910,DE,CH,5300.0,0.268,19.7761,si
2019-03,28042910,DE,GB,436.0,0.002,218.0,no
2019-03,28042910,DE,QA,1612487.0,30.34,53.1472,no
2019-03,28042910,DE,US,492391.0,11.874,41.468,no
2019-03,28042910,ES,QA,230126.0,22.627,10.1704,si
2019-03,28042910,ES,US,425734.0,9.208,46.2352,no
2019-03,28042910,FR,DZ,7259679.0,211.467,34.3301,no
2019-03,28042910,FR,GB,41226.0,0.825,49.9709,no
2019-03,28042910,FR,MU,159.0,0.001,159.0,no
2019-03,28042910,FR,US,6041.0,0.083,72.7831,no
2019-03,28042910,IT,CH,66259.0,40.618,1.6313,si
2019-03,28042910,IT,DZ,198695.0,4.68,42.4562,no
2019-03,28042910,IT,QA,1094974.0,21.314,51.3735,no
2019-03,28042910,IT,RU,1058799.0,9.01,117.5138,no
2019-03,28042910,IT,US,233520.0,4.669,50.015,no
2019-03,28042910,NL,GB,295194.0,3.013,97.9734,no
2019-03,28042910,NL,NO,1644.0,0.01,164.4,no
