mese,codice_cn8,dichiarante,origine,valore_eur,quantita_t,eur_per_kg,fuori_banda
2019-01,27090090,IT,AL,4946242.0,18153.367,0.2725,no
2019-01,27090090,IT,AZ,384415143.0,992691.334,0.3872,no
2019-01,27090090,IT,CA,26715919.0,71129.976,0.3756,no
2019-01,27090090,IT,CM,36189263.0,103488.192,0.3497,no
2019-01,27090090,IT,DE,9540.0,6.621,1.4409,no
2019-01,27090090,IT,DZ,69312611.0,165214.096,0.4195,no
2019-01,27090090,IT,EG,54333001.0,145705.97,0.3729,no
2019-01,27090090,IT,GB,243.0,0.006,40.5,no
2019-01,27090090,IT,IQ,415473613.0,1235781.012,0.3362,no
2019-01,27090090,IT,KZ,21460985.0,55256.881,0.3884,no
2019-01,27090090,IT,LY,196450952.0,531456.72,0.3696,no
2019-01,27090090,IT,NG,136121886.0,358257.245,0.38,no
2019-01,27090090,IT,RU,180053997.0,504896.947,0.3566,no
2019-01,27090090,IT,SA,113530998.0,299249.592,0.3794,no
2019-01,27090090,IT,US,32785240.0,87707.625,0.3738,no
2019-01,27090090,IT,VE,14741968.0,50102.563,0.2942,no
2019-02,27090090,IT,AZ,321543908.0,739321.658,0.4349,no
2019-02,27090090,IT,CA,37458604.0,90898.078,0.4121,no
2019-02,27090090,IT,CM,36407379.0,95669.1,0.3806,no
2019-02,27090090,IT,DE,6148.0,3.762,1.6342,no
2019-02,27090090,IT,EG,56118258.0,129612.365,0.433,no
2019-02,27090090,IT,GB,240.0,0.002,120.0,no
2019-02,27090090,IT,GH,55532518.0,134440.11,0.4131,no
2019-02,27090090,IT,IQ,295227801.0,802613.753,0.3678,no
2019-02,27090090,IT,KZ,130084982.0,314037.942,0.4142,no
2019-02,27090090,IT,LY,262436724.0,652049.042,0.4025,no
2019-02,27090090,IT,NG,152034587.0,363804.145,0.4179,no
2019-02,27090090,IT,NL,579883.0,29906.858,0.0194,no
2019-02,27090090,IT,QV,84958.0,270.6,0.314,no
2019-02,27090090,IT,RU,171130575.0,419706.99,0.4077,no
2019-02,27090090,IT,SA,181009843.0,448339.424,0.4037,no
2019-02,27090090,IT,TN,7439987.0,21073.574,0.353,no
2019-02,27090090,IT,US,30404836.0,75366.071,0.4034,no
2019-02,27090090,IT,VE,30506671.0,118742.242,0.2569,no
2019-03,27090090,IT,AO,110820227.0,260459.272,0.4255,no
2019-03,27090090,IT,AZ,378763090.0,851994.791,0.4446,no
2019-03,27090090,IT,CA,34883933.0,81425.0,0.4284,no
2019-03,27090090,IT,CM,38913034.0,98220.34,0.3962,no
2019-03,27090090,IT,CZ,17.0,0.001,17.0,no
2019-03,27090090,IT,DE,19624.0,10.962,1.7902,no
2019-03,27090090,IT,DZ,36672815.0,81961.503,0.4474,no
2019-03,27090090,IT,EG,58009775.0,133058.536,0.436,no
2019-03,27090090,IT,ES,501.0,0.017,29.4706,no
2019-03,27090090,IT,FR,608.0,0.04,15.2,no
2019-03,27090090,IT,GA,55171527.0,130396.712,0.4231,no
2019-03,27090090,IT,GB,4179.0,0.326,12.819,no
2019-03,27090090,IT,IQ,538235545.0,1363729.316,0.3947,no
2019-03,27090090,IT,KZ,77115464.0,174906.0,0.4409,no
2019-03,27090090,IT,LY,212804386.0,484596.014,0.4391,no
2019-03,27090090,IT,NG,110245359.0,244452.538,0.451,no
2019-03,27090090,IT,NL,5074.0,0.447,11.3512,no
2019-03,27090090,IT,NO,30858755.0,90373.0,0.3415,no
