data,navi_totali,petroliere,cargo,capacita_petroliere_dwt,capacita_totale_dwt
2019-01-01,52,33,19,2390755,2795480
2019-01-02,59,35,24,1022523,1991917
2019-01-03,71,49,22,2841667,3604099
2019-01-04,59,35,24,1207506,1966770
2019-01-05,61,34,27,1830227,2851813
2019-01-06,55,35,20,2219169,2657662
2019-01-07,70,50,20,1940965,2475406
2019-01-08,55,31,24,515105,1253720
2019-01-09,37,21,16,1805444,2278943
2019-01-10,57,34,23,789993,1295612
2019-01-11,60,40,20,1008345,1555588
2019-01-12,55,35,20,481324,905066
2019-01-13,42,23,19,1557452,2251475
2019-01-14,49,34,15,2088547,2409324
2019-01-15,48,25,23,972941,1585185
2019-01-16,56,27,29,1922947,2708518
2019-01-17,51,29,22,1607029,2361033
2019-01-18,46,32,14,2116818,2616203
2019-01-19,60,37,23,1395862,1856065
2019-01-20,66,40,26,1387500,2249283
2019-01-21,57,36,21,312553,894123
2019-01-22,59,39,20,2228951,2883759
2019-01-23,42,31,11,1699263,2009965
2019-01-24,42,32,10,1942712,2275692
2019-01-25,46,27,19,1444862,2000221
2019-01-26,60,38,22,1796329,2537356
2019-01-27,61,40,21,2352926,3184544
2019-01-28,59,32,27,846159,1526568
2019-01-29,45,32,13,2288161,2921629
2019-01-30,58,36,22,1117727,1581716
2019-01-31,49,28,21,1522445,2206553
2019-02-01,49,33,16,1249494,1704478
2019-02-02,49,32,17,2139350,2640488
2019-02-03,57,39,18,1686854,2100075
2019-02-04,56,35,21,1010318,1676755
2019-02-05,58,29,29,572524,1214871
2019-02-06,49,29,20,846722,1486989
2019-02-07,60,35,25,1604455,2195049
2019-02-08,54,33,21,849125,1433469
2019-02-09,56,40,16,1597088,2089577
2019-02-10,59,39,20,1584091,2259444
2019-02-11,42,26,16,1160991,1885416
2019-02-12,53,30,23,418259,1168482
2019-02-13,43,26,17,909455,1507256
2019-02-14,62,39,23,971138,1663714
2019-02-15,62,36,26,1826351,2386786
2019-02-16,64,40,24,1490346,2265373
2019-02-17,39,26,13,938241,1525194
2019-02-18,71,43,28,1368765,1944296
2019-02-19,47,24,23,324484,1016587
2019-02-20,60,37,23,760090,1226449
2019-02-21,68,42,26,711691,1273792
2019-02-22,76,44,32,1443209,2236580
2019-02-23,72,45,27,2383118,3300347
2019-02-24,69,41,28,1466085,2304158
2019-02-25,46,27,19,1144892,1792662
2019-02-26,52,27,25,578299,1424911
2019-02-27,40,25,15,508063,1227426
2019-02-28,56,33,23,1417121,1960670
2019-03-01,57,39,18,2161005,2682406
2019-03-02,60,33,27,1013580,1812544
2019-03-03,66,45,21,1059240,1754283
2019-03-04,38,25,13,299513,648587
2019-03-05,67,39,28,1720874,2602160
2019-03-06,80,52,28,1360314,2353109
2019-03-07,41,26,15,1021012,1322387
2019-03-08,65,42,23,1740780,2491874
2019-03-09,74,48,26,2352261,3449010
2019-03-10,46,32,14,698929,1260333
2019-03-11,40,23,17,509330,912526
2019-03-12,47,33,14,2969275,3462056
2019-03-13,67,39,28,1964304,2707631
2019-03-14,51,28,23,1014341,1547621
2019-03-15,51,33,18,2217509,2733601
2019-03-16,49,28,21,1322216,1946554
2019-03-17,68,42,26,886031,1848017
2019-03-18,36,28,8,1190734,1390889
2019-03-19,49,26,23,1147559,1809102
2019-03-20,61,40,21,1126521,1521795
2019-03-21,49,31,18,1491523,1865175
2019-03-22,47,28,19,1368091,2037729
2019-03-23,58,31,27,2250838,3145827
2019-03-24,54,31,23,641687,1046686
2019-03-25,44,22,22,350129,1315357
2019-03-26,57,33,24,949423,1699049
2019-03-27,61,38,23,761454,1276028
2019-03-28,39,28,11,1967686,2294501
2019-03-29,74,36,38,1795790,2850511
2019-03-30,70,47,23,1832845,2548798
2019-03-31,47,31,16,1880417,2300002
2019-04-01,69,42,27,1071342,2058310
2019-04-02,46,25,21,1162177,1602753
2019-04-03,58,32,26,1699083,2237837
2019-04-04,31,20,11,215110,555239
2019-04-05,67,39,28,1982435,2758910
2019-04-06,70,46,24,1462514,2245813
2019-04-07,61,41,20,1767947,2558461
2019-04-08,69,40,29,968474,1663658
2019-04-09,71,50,21,2272056,2730943
2019-04-10,52,29,23,1125214,1937877
2019-04-11,59,41,18,2288556,2825861
2019-04-12,52,33,19,1045267,1628986
2019-04-13,66,41,25,1172514,1798705
2019-04-14,35,20,15,846145,1246638
2019-04-15,75,40,35,1549587,2680297
2019-04-16,70,38,32,1716065,2704268
2019-04-17,69,39,30,3170336,4156952
2019-04-18,57,36,21,2206555,2816028
2019-04-19,85,57,28,2971950,3845691
2019-04-20,80,48,32,2275844,3229651
2019-04-21,76,41,35,1700031,2493399
2019-04-22,85,45,40,3027693,4713055
2019-04-23,39,24,15,1633807,2086183
2019-04-24,59,34,25,1116454,1877117
2019-04-25,70,44,26,1060580,1659105
2019-04-26,63,37,26,1431885,2461199
2019-04-27,90,57,33,2607813,3466314
2019-04-28,71,40,31,2862180,3751764
2019-04-29,93,51,42,2316227,3506975
2019-04-30,54,33,21,1849085,2474440
2019-05-01,50,30,20,1159043,1747653
2019-05-02,77,46,31,2372706,3136919
2019-05-03,90,46,44,2458929,3605137
2019-05-04,63,41,22,3518777,4469443
2019-05-05,52,28,24,1561489,2521722
2019-05-06,65,37,28,2150731,3079015
2019-05-07,72,48,24,1962989,2447254
2019-05-08,87,50,37,2724319,3555134
2019-05-09,56,29,27,1514470,2232935
2019-05-10,58,39,19,1293036,1948875
2019-05-11,61,37,24,1469812,2349704
2019-05-12,59,40,19,2450323,3065754
2019-05-13,75,47,28,2383458,3079895
2019-05-14,39,18,21,1150851,1727517
2019-05-15,70,47,23,2828230,3615269
2019-05-16,58,41,17,2207725,2591772
2019-05-17,87,46,41,2419184,3553207
2019-05-18,60,37,23,1667149,2222630
2019-05-19,63,42,21,2645047,3096972
2019-05-20,57,35,22,1651653,2041327
2019-05-21,41,27,14,2423124,2955436
2019-05-22,59,35,24,1349228,1928053
2019-05-23,65,43,22,2121730,2516910
2019-05-24,75,42,33,1465014,2400414
2019-05-25,80,47,33,2866391,4281554
2019-05-26,67,48,19,2053678,2904898
2019-05-27,85,53,32,3161050,4474047
2019-05-28,49,25,24,1017574,1502992
2019-05-29,88,49,39,2039626,3072549
2019-05-30,88,56,32,2640169,3398917
2019-05-31,81,48,33,1649583,2853296
2019-06-01,39,26,13,1124176,1730151
2019-06-02,78,50,28,2272259,3188094
2019-06-03,82,54,28,3820149,4716251
2019-06-04,93,60,33,2381885,3255309
2019-06-05,42,27,15,1167240,1625787
2019-06-06,73,38,35,425477,1279838
2019-06-07,77,44,33,3407731,4612564
2019-06-08,66,39,27,2071350,2951271
2019-06-09,67,40,27,1185369,1834254
2019-06-10,82,45,37,2260809,3027778
2019-06-11,79,46,33,2655706,3342549
2019-06-12,67,46,21,2357276,2864361
2019-06-13,48,30,18,1203614,1703603
2019-06-14,53,31,22,1203128,1821609
2019-06-15,51,24,27,782716,1671507
2019-06-16,96,68,28,4180198,5013424
2019-06-17,73,46,27,2189726,3508390
2019-06-18,74,42,32,2967846,4214665
2019-06-19,58,39,19,1037945,1628332
2019-06-20,75,43,32,1486181,2234391
2019-06-21,77,42,35,2648921,3817405
2019-06-22,86,50,36,1545248,2759015
2019-06-23,48,30,18,1660099,2325176
2019-06-24,102,69,33,2657916,3619055
2019-06-25,90,62,28,3645780,4669001
2019-06-26,78,49,29,3073393,3913615
2019-06-27,86,51,35,2053476,3008855
2019-06-28,78,45,33,2810390,3856065
2019-06-29,63,46,17,1521986,1964475
2019-06-30,99,53,46,3022622,4398355
2019-07-01,90,56,34,2697110,3652712
2019-07-02,72,36,36,1462444,2147383
2019-07-03,102,65,37,2946298,3900206
2019-07-04,95,47,48,3519533,5270900
2019-07-05,75,45,30,2634326,3350295
2019-07-06,102,58,44,1711922,2812539
2019-07-07,83,44,39,2002728,3105218
2019-07-08,79,46,33,1803162,2501387
2019-07-09,64,40,24,1203158,1643124
2019-07-10,54,30,24,1668314,2069161
2019-07-11,86,50,36,2072698,2976407
