mese,origine,tonnellate,intra_ue
2019-01,AL,28.4,no
2019-01,AT,873.7,si
2019-01,BE,5100.2,si
2019-01,BG,23.6,si
2019-01,CH,19.0,no
2019-01,CY,36.5,si
2019-01,CZ,60.8,si
2019-01,DE,2467.4,si
2019-01,DK,2.7,si
2019-01,EG,10.4,no
2019-01,ES,4002.5,si
2019-01,FI,2.4,si
2019-01,FR,2643.3,si
2019-01,GB,4294.0,no
2019-01,GR,308.4,si
2019-01,HR,7033.9,si
2019-01,HU,2058.9,si
2019-01,IL,10.6,no
2019-01,IN,320.1,no
2019-01,JP,4.6,no
2019-01,KR,954.5,no
2019-01,LT,3.7,si
2019-01,LU,2.1,si
2019-01,LV,2.7,si
2019-01,MT,6.7,si
2019-01,MX,6.7,no
2019-01,NL,4883.7,si
2019-01,NO,0.5,no
2019-01,PL,1683.8,si
2019-01,PT,18.6,si
2019-01,RO,86.7,si
2019-01,RU,889.0,no
2019-01,SE,232.2,si
2019-01,SI,148.9,si
2019-01,SK,20.1,si
2019-01,TR,77.9,no
2019-01,TW,761.6,no
2019-01,US,4237.9,no
2019-01,XS,24.0,no
2019-02,AL,40.3,no
2019-02,AT,117.6,si
2019-02,BE,5275.2,si
2019-02,BG,16.6,si
2019-02,CH,27.1,no
2019-02,CY,36.8,si
2019-02,CZ,62.9,si
2019-02,DE,2617.2,si
2019-02,DK,3.0,si
2019-02,ES,4443.3,si
2019-02,FI,2.2,si
2019-02,FR,4178.8,si
2019-02,GB,11571.9,no
2019-02,GR,61.3,si
2019-02,HR,34.7,si
2019-02,HU,862.9,si
2019-02,IN,299.2,no
2019-02,JP,0.7,no
2019-02,KR,934.4,no
2019-02,LT,3.7,si
2019-02,LU,2.1,si
2019-02,LV,2.7,si
2019-02,MT,6.7,si
2019-02,MX,3.6,no
2019-02,NL,5816.7,si
2019-02,PL,1426.8,si
2019-02,PT,7.7,si
2019-02,QV,0.4,no
2019-02,RO,86.2,si
2019-02,RU,1310.7,no
2019-02,SE,243.1,si
2019-02,SI,144.7,si
2019-02,SK,23.8,si
2019-02,TR,63.8,no
2019-02,US,45.4,no
2019-03,AL,6.5,no
2019-03,AT,345.9,si
2019-03,BE,4687.4,si
2019-03,BG,8.3,si
2019-03,CA,0.7,no
2019-03,CH,23.3,no
2019-03,CN,0.0,no
2019-03,CY,39.7,si
2019-03,CZ,68.9,si
2019-03,DE,2866.1,si
2019-03,DK,2.9,si
2019-03,ES,5482.8,si
