mese,codice_cn8,descrizione,valore_eur,quantita_t,eur_per_kg,provvisorio
2019-01,27101971,Oli lubrificanti destinati a un processo specifico,4147494.0,5937.5,0.6985,no
2019-02,27101971,Oli lubrificanti destinati a un processo specifico,654269.0,934.4,0.7002,no
2019-03,27101971,Oli lubrificanti destinati a un processo specifico,704452.0,970.2,0.7261,no
2019-04,27101971,Oli lubrificanti destinati a un processo specifico,3039118.0,4903.5,0.6198,no
2019-05,27101971,Oli lubrificanti destinati a un processo specifico,415585.0,621.7,0.6685,no
2019-06,27101971,Oli lubrificanti destinati a un processo specifico,82483.0,49.7,1.6603,no
2019-07,27101971,Oli lubrificanti destinati a un processo specifico,1434.0,0.1,17.925,no
2019-08,27101971,Oli lubrificanti destinati a un processo specifico,711981.0,998.1,0.7133,no
2019-09,27101971,Oli lubrificanti destinati a un processo specifico,1095224.0,1525.6,0.7179,no
2019-10,27101971,Oli lubrificanti destinati a un processo specifico,158578.0,233.1,0.6802,no
2019-11,27101971,Oli lubrificanti destinati a un processo specifico,1015682.0,1423.9,0.7133,no
2019-12,27101971,Oli lubrificanti destinati a un processo specifico,366415.0,533.6,0.6867,no
2020-01,27101971,Oli lubrificanti destinati a un processo specifico,2039895.0,3001.1,0.6797,no
2020-02,27101971,Oli lubrificanti destinati a un processo specifico,429766.0,643.4,0.668,no
2020-03,27101971,Oli lubrificanti destinati a un processo specifico,1376737.0,2018.8,0.6819,no
2020-04,27101971,Oli lubrificanti destinati a un processo specifico,1116021.0,1649.5,0.6766,no
2020-05,27101971,Oli lubrificanti destinati a un processo specifico,4732.0,0.4,10.9032,no
2020-06,27101971,Oli lubrificanti destinati a un processo specifico,73864.0,2.9,25.899,no
2020-07,27101971,Oli lubrificanti destinati a un processo specifico,172388.0,305.6,0.5641,no
2020-08,27101971,Oli lubrificanti destinati a un processo specifico,836243.0,1441.6,0.5801,no
2020-09,27101971,Oli lubrificanti destinati a un processo specifico,670121.0,1289.0,0.5199,no
2020-10,27101971,Oli lubrificanti destinati a un processo specifico,644041.0,1141.3,0.5643,no
2020-11,27101971,Oli lubrificanti destinati a un processo specifico,559947.0,987.6,0.567,no
2020-12,27101971,Oli lubrificanti destinati a un processo specifico,701995.0,1168.7,0.6006,no
