mese,codice_cn8,descrizione,valore_eur,quantita_t,eur_per_kg,provvisorio
2019-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",41477639.0,43342.7,0.957,no
2019-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",40288142.0,39774.1,1.0129,no
2019-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",40291362.0,36033.3,1.1182,no
2019-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",35825465.0,31275.6,1.1455,no
2019-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",47790435.0,48314.0,0.9892,no
2019-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",47409521.0,54941.5,0.8629,no
2019-07,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",45407817.0,40592.0,1.1186,no
2019-08,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",34602889.0,35890.7,0.9641,no
2019-09,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",41118570.0,46818.8,0.8782,no
2019-10,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",42176336.0,46724.6,0.9027,no
2019-11,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",34998266.0,32064.6,1.0915,no
2019-12,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",31773707.0,39155.6,0.8115,no
2020-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",39146991.0,49967.2,0.7835,no
2020-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",33538443.0,32107.3,1.0446,no
2020-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",40594912.0,42293.2,0.9598,no
2020-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",26540635.0,31497.3,0.8426,no
2020-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",18795224.0,18761.3,1.0018,no
2020-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",24081142.0,19875.2,1.2116,no
2020-07,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",34416044.0,39109.6,0.88,no
2020-08,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",27935751.0,40148.6,0.6958,no
2020-09,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",32176760.0,34431.2,0.9345,no
2020-10,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",41232393.0,51958.4,0.7936,no
2020-11,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",40816892.0,62536.8,0.6527,no
2020-12,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",33745991.0,31303.1,1.078,no
2021-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",30437366.0,39533.3,0.7699,no
2021-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",34081219.0,32998.8,1.0328,no
2021-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",55261445.0,59057.6,0.9357,no
2021-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",57301199.0,50439.3,1.136,no
2021-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",53475691.0,41544.0,1.2872,no
2021-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",63910165.0,46099.9,1.3863,no
2021-07,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",55284570.0,47597.7,1.1615,no
2021-08,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",52721610.0,46624.5,1.1308,no
2021-09,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",64741921.0,41198.9,1.5714,no
2021-10,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",63988087.0,52914.2,1.2093,no
2021-11,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",56155789.0,47158.8,1.1908,no
2021-12,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",56144938.0,46024.2,1.2199,no
2022-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",54983384.0,38188.5,1.4398,no
2022-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",78715389.0,63200.2,1.2455,no
2022-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",68030652.0,43615.9,1.5598,no
2022-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",71359855.0,52488.5,1.3595,no
2022-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",117785885.0,70372.9,1.6737,no
2022-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",92372846.0,57939.3,1.5943,no
2022-07,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",88729707.0,54062.7,1.6412,no
2022-08,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",72310956.0,36259.0,1.9943,no
2022-09,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",83367532.0,49869.7,1.6717,no
2022-10,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",91907422.0,54209.2,1.6954,no
2022-11,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",83984370.0,52566.7,1.5977,no
2022-12,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",60033969.0,38203.7,1.5714,no
2023-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",60411263.0,33609.2,1.7975,no
2023-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",80059124.0,51940.3,1.5414,no
2023-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",74529492.0,41803.9,1.7828,no
2023-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",60420239.0,32958.7,1.8332,no
2023-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",82062972.0,52485.3,1.5635,no
2023-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",65180074.0,37705.4,1.7287,no
2023-07,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",92008358.0,57040.2,1.613,no
2023-08,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",64674944.0,50653.1,1.2768,no
2023-09,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",76412056.0,47177.1,1.6197,no
2023-10,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",87798241.0,69865.4,1.2567,no
2023-11,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",68918774.0,43049.4,1.6009,no
2023-12,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",56761153.0,36060.8,1.574,no
2024-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",67004540.0,44802.7,1.4955,no
2024-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",61591875.0,41122.4,1.4978,no
2024-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",73608810.0,58811.2,1.2516,no
2024-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",77524185.0,59399.4,1.3051,no
2024-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",83159967.0,60910.8,1.3653,no
2024-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",84636824.0,69094.1,1.2249,no
2024-07,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",124564743.0,89501.0,1.3918,no
2024-08,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",57158742.0,38108.6,1.4999,no
2024-09,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",80268921.0,51176.2,1.5685,no
2024-10,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",95204553.0,62682.5,1.5188,no
2024-11,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",75521966.0,57567.2,1.3119,no
2024-12,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",48990626.0,29092.6,1.684,no
2025-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",75627258.0,50888.3,1.4861,no
2025-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",91408888.0,64653.1,1.4138,no
2025-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",84177732.0,52404.3,1.6063,no
2025-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",84097671.0,59254.3,1.4193,no
2025-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",94621554.0,64873.5,1.4586,no
2025-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",85759743.0,62177.4,1.3793,no
2025-07,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",72662291.0,45916.5,1.5825,no
2025-08,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",56272858.0,26985.4,2.0853,no
2025-09,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",63500962.0,34515.9,1.8398,no
2025-10,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",91657765.0,65955.3,1.3897,no
2025-11,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",61970762.0,42380.1,1.4623,no
2025-12,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",72581529.0,56486.3,1.2849,no
2026-01,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",56912845.0,50644.0,1.1238,no
2026-02,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",63978266.0,45059.2,1.4199,no
2026-03,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",83629274.0,59471.6,1.4062,no
2026-04,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",82436084.0,57514.1,1.4333,no
2026-05,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",103556127.0,58968.2,1.7561,no
2026-06,LUBRIFICANTI,"Oli lubrificanti, tutti i codici 2710.19",14343305.0,9495.1,1.5106,si
